L,T,m_avg,m_err,chi,chi_err,e_avg,e_err,cv,cv_err
64,3.80000019e+00,2.72940430e-02,1.64645124e-04,4.54586210e-01,5.82885685e-03,-5.94421484e-01,1.70761039e-04,1.97255335e-01,2.00787762e-03
64,3.84999990e+00,2.67726888e-02,1.51666468e-04,4.37822484e-01,6.11923175e-03,-5.84424740e-01,1.60899030e-04,1.91336941e-01,2.56493320e-03
64,3.90000010e+00,2.66123047e-02,1.79911109e-04,4.22318761e-01,6.10229951e-03,-5.75029232e-01,2.21595695e-04,1.87480300e-01,1.56322749e-03
64,3.95000005e+00,2.64970703e-02,1.53143559e-04,4.16011000e-01,4.88472058e-03,-5.66041341e-01,2.68423566e-04,1.75063380e-01,1.56112574e-03
64,4.00000000e+00,2.57458008e-02,1.63680581e-04,3.88752000e-01,3.71158765e-03,-5.57045573e-01,1.40999563e-04,1.72112440e-01,1.72734268e-03
128,1.00000000e+00,9.99277987e-01,2.11408392e-06,1.52933690e-03,1.32454758e-05,-1.99716895e+00,8.67735103e-06,2.27081723e-02,2.07888548e-04
128,1.04999995e+00,9.98915885e-01,3.89765026e-06,2.25723032e-03,2.39347449e-05,-1.99577108e+00,1.52566808e-05,3.14418192e-02,3.60310653e-04
128,1.10000002e+00,9.98452482e-01,3.94306237e-06,3.13491182e-03,4.17138408e-05,-1.99399072e+00,1.46017806e-05,4.10637364e-02,5.40114169e-04
128,1.14999998e+00,9.97814323e-01,5.82999751e-06,4.46554584e-03,6.91646597e-05,-1.99156655e+00,2.13235606e-05,5.43384422e-02,7.84007662e-04
128,1.20000005e+00,9.97032406e-01,3.62224926e-06,5.81059303e-03,4.77014511e-05,-1.98862010e+00,1.35361195e-05,6.64575124e-02,5.45615616e-04
128,1.25000000e+00,9.96021094e-01,7.04250802e-06,7.82384331e-03,7.61650269e-05,-1.98485864e+00,2.64026493e-05,8.36058384e-02,7.15282854e-04
128,1.29999995e+00,9.94778597e-01,9.45557916e-06,1.01231479e-02,9.79936770e-05,-1.98028381e+00,3.58688727e-05,1.00124071e-01,9.63231713e-04
128,1.35000002e+00,9.93247583e-01,8.97113516e-06,1.28992792e-02,1.69880656e-04,-1.97473522e+00,2.81323179e-05,1.18731809e-01,1.51470896e-03
128,1.39999998e+00,9.91402938e-01,8.57885315e-06,1.67122060e-02,2.05854402e-04,-1.96812892e+00,2.78811724e-05,1.42465480e-01,1.84438797e-03
128,1.45000005e+00,9.89158203e-01,1.57400562e-05,2.14771822e-02,2.39369601e-04,-1.96026330e+00,5.45933174e-05,1.69182611e-01,1.60027823e-03
128,1.50000000e+00,9.86489355e-01,8.99189127e-06,2.63860401e-02,2.77707913e-04,-1.95108271e+00,2.96769615e-05,1.93334167e-01,1.68655259e-03
128,1.54999995e+00,9.83338477e-01,1.39899717e-05,3.40504838e-02,3.76193223e-04,-1.94047020e+00,4.23823771e-05,2.25414711e-01,2.62395943e-03
128,1.60000002e+00,9.79627140e-01,1.37886358e-05,4.34652208e-02,5.68768620e-04,-1.92827619e+00,3.75033732e-05,2.63785659e-01,3.19107742e-03
128,1.65000010e+00,9.75229093e-01,1.72088895e-05,5.40382804e-02,5.41183069e-04,-1.91417441e+00,5.27357146e-05,2.97262982e-01,3.43128465e-03
128,1.70000005e+00,9.70074764e-01,2.01013656e-05,6.82706910e-02,9.07410977e-04,-1.89816177e+00,5.73218104e-05,3.38458936e-01,4.84971024e-03
128,1.75000000e+00,9.63998039e-01,2.27389277e-05,8.74835943e-02,1.28670052e-03,-1.87991841e+00,7.09558376e-05,3.87987939e-01,4.90176642e-03
128,1.79999995e+00,9.56821444e-01,2.34520498e-05,1.13929181e-01,1.15116706e-03,-1.85919468e+00,7.76779198e-05,4.35642002e-01,4.73410998e-03
128,1.85000002e+00,9.48414111e-01,1.65363893e-05,1.49582655e-01,1.94800476e-03,-1.83601042e+00,4.97582723e-05,4.98429076e-01,4.69930133e-03
128,1.90000010e+00,9.38327604e-01,5.03582525e-05,1.93843489e-01,2.02599687e-03,-1.80954723e+00,9.45558286e-05,5.57995052e-01,4.71172968e-03
128,1.95000005e+00,9.26229110e-01,4.11480318e-05,2.67646097e-01,2.69552855e-03,-1.77971706e+00,9.57365659e-05,6.30461089e-01,5.75353121e-03
128,2.00000000e+00,9.11261507e-01,5.33487899e-05,3.95334369e-01,5.80966283e-03,-1.74540721e+00,1.07636033e-04,7.30171539e-01,8.61236637e-03
128,2.05000019e+00,8.92763078e-01,9.09825626e-05,5.71512424e-01,7.56945588e-03,-1.70680501e+00,1.44718493e-04,8.16007193e-01,1.06560121e-02
128,2.09999990e+00,8.68674927e-01,9.70885033e-05,9.42747401e-01,1.77777571e-02,-1.66190762e+00,1.15202747e-04,9.54570858e-01,6.94158506e-03
128,2.10999990e+00,8.63156812e-01,1.17940002e-04,1.05080472e+00,1.50879704e-02,-1.65244902e+00,1.47461689e-04,9.97258570e-01,7.43134700e-03
128,2.11999989e+00,8.56903874e-01,1.29546649e-04,1.19989157e+00,2.10616867e-02,-1.64211652e+00,1.37479254e-04,1.03003052e+00,1.04605018e-02
128,2.12999988e+00,8.50486296e-01,1.43306792e-04,1.35365966e+00,2.51264829e-02,-1.63188145e+00,2.02874881e-04,1.05389502e+00,1.05406071e-02
128,2.13999987e+00,8.43433154e-01,1.78673213e-04,1.55598076e+00,2.97723813e-02,-1.62092803e+00,1.12798824e-04,1.09333933e+00,1.58838795e-02
128,2.14999986e+00,8.35818270e-01,1.41428148e-04,1.76763314e+00,2.25152690e-02,-1.60967459e+00,1.14383275e-04,1.16201344e+00,9.61238811e-03
128,2.15999985e+00,8.27597559e-01,2.25885013e-04,2.15705102e+00,6.99349442e-02,-1.59815234e+00,1.77092583e-04,1.19913408e+00,1.41846566e-02
128,2.16999984e+00,8.18368896e-01,2.38156076e-04,2.50096645e+00,5.00471883e-02,-1.58600698e+00,1.51943470e-04,1.21543280e+00,1.24295894e-02
128,2.17999983e+00,8.08274365e-01,4.37088989e-04,3.34423065e+00,2.47902745e-01,-1.57372568e+00,2.16846724e-04,1.30558221e+00,1.16503554e-02
128,2.18999982e+00,7.97564998e-01,4.29995546e-04,3.77349753e+00,1.84879449e-01,-1.56046842e+00,2.39367981e-04,1.34047850e+00,1.53502146e-02
128,2.19999981e+00,7.84914038e-01,4.96325328e-04,4.81180108e+00,2.49097690e-01,-1.54660882e+00,2.75557244e-04,1.40938707e+00,1.76609952e-02
128,2.20999980e+00,7.70086857e-01,7.00229096e-04,6.10800220e+00,2.84050910e-01,-1.53198983e+00,2.41983000e-04,1.47710820e+00,2.01472965e-02
128,2.21999979e+00,7.51937345e-01,1.96782398e-03,9.69106483e+00,2.10533828e+00,-1.51605602e+00,5.37678709e-04,1.60019878e+00,3.64084328e-02
128,2.23000002e+00,7.34236442e-01,1.61188819e-03,1.11342193e+01,1.00428948e+00,-1.49994902e+00,4.32645050e-04,1.64793156e+00,3.34674267e-02
128,2.24000001e+00,7.10005176e-01,2.23621175e-03,1.80972333e+01,2.75855745e+00,-1.48329771e+00,4.53705468e-04,1.78431499e+00,4.47826470e-02
128,2.25000000e+00,6.75637866e-01,2.93665000e-03,2.84983938e+01,3.67929262e+00,-1.46307803e+00,5.39635611e-04,1.89981733e+00,3.89936564e-02
128,2.25999999e+00,6.30278312e-01,8.98090348e-03,5.98739470e+01,1.34139921e+01,-1.44272183e+00,1.30047931e-03,2.14672207e+00,5.11837119e-02
128,2.26999998e+00,5.70039925e-01,1.18999796e-02,1.01924971e+02,2.09843163e+01,-1.42004186e+00,1.10272336e-03,2.32463324e+00,5.77920937e-02
128,2.27999997e+00,4.37204712e-01,1.80429330e-02,2.13014215e+02,2.01753429e+01,-1.39117007e+00,1.61507853e-03,2.57489764e+00,6.84714275e-02
128,2.28999996e+00,3.31072852e-01,1.52548237e-02,2.02133085e+02,1.13945216e+01,-1.36538545e+00,1.33435816e-03,2.22233932e+00,6.95564074e-02
128,2.29999995e+00,2.69878792e-01,1.25985129e-02,1.57714471e+02,1.08595954e+01,-1.34455039e+00,1.01147519e-03,1.91902329e+00,5.16198256e-02
128,2.30999994e+00,2.31681242e-01,1.28130257e-02,1.42240280e+02,7.89737912e+00,-1.32774460e+00,8.79435613e-04,1.82679638e+00,3.30038027e-02
128,2.31999993e+00,1.87556445e-01,5.88044911e-03,1.16081365e+02,3.52308998e+00,-1.31048617e+00,5.12104679e-04,1.64519924e+00,2.79129860e-02
128,2.32999992e+00,1.50309953e-01,4.60928533e-03,8.17690097e+01,4.96158106e+00,-1.29369880e+00,3.84751627e-04,1.49566942e+00,3.21242764e-02
128,2.33999991e+00,1.27780811e-01,4.20708300e-03,6.34662852e+01,3.70853316e+00,-1.27889395e+00,4.73056393e-04,1.46294465e+00,2.55391741e-02
128,2.34999990e+00,1.20861719e-01,3.04923996e-03,5.37652278e+01,2.77862087e+00,-1.26490166e+00,3.48160516e-04,1.34430559e+00,2.57811791e-02
128,2.35999990e+00,1.09565137e-01,1.76479245e-03,4.51473713e+01,1.77321085e+00,-1.25246618e+00,2.58436112e-04,1.28956767e+00,1.62276529e-02
128,2.36999989e+00,9.54698486e-02,2.75235607e-03,3.49463029e+01,2.07302296e+00,-1.23952267e+00,3.21710066e-04,1.25129772e+00,2.15256585e-02
128,2.37999988e+00,9.27972575e-02,1.86699994e-03,3.21528843e+01,1.06930677e+00,-1.22746880e+00,2.04239448e-04,1.20270938e+00,1.51833747e-02
128,2.38999987e+00,8.41362386e-02,1.25677794e-03,2.66862393e+01,9.49021017e-01,-1.21526945e+00,1.96953717e-04,1.16348353e+00,1.23222853e-02
128,2.39999986e+00,8.09120605e-02,1.32303395e-03,2.53819038e+01,7.91376480e-01,-1.20438771e+00,2.30876408e-04,1.11221516e+00,1.40641397e-02
128,2.45000005e+00,6.05046143e-02,4.53540247e-04,1.36750933e+01,3.01370615e-01,-1.15195361e+00,1.60849240e-04,9.64906280e-01,1.23135321e-02
128,2.50000000e+00,4.92104329e-02,2.87285756e-04,9.19498044e+00,1.42544090e-01,-1.10598516e+00,2.55444552e-04,8.64589721e-01,1.10038620e-02
128,2.54999995e+00,4.28134277e-02,2.38386385e-04,6.74852326e+00,1.12116540e-01,-1.06517334e+00,1.57563713e-04,7.76044101e-01,8.33858443e-03
128,2.60000014e+00,3.71096029e-02,3.57712777e-04,4.86620292e+00,9.50512187e-02,-1.02857624e+00,1.11421909e-04,7.05004012e-01,8.90659450e-03
128,2.65000010e+00,3.37262858e-02,2.23266145e-04,3.92015239e+00,6.00975942e-02,-9.94633724e-01,1.36175443e-04,6.50508269e-01,6.73904336e-03
128,2.70000005e+00,3.08680257e-02,2.50515897e-04,3.35047558e+00,5.30103679e-02,-9.63599495e-01,1.07254683e-04,5.92499916e-01,7.74245165e-03
128,2.75000000e+00,2.85953451e-02,1.69515936e-04,2.72416715e+00,2.05736657e-02,-9.34768815e-01,1.16127262e-04,5.59677080e-01,5.28485560e-03
